        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU only Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2020-02-12 01:56:51 ,          75.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        6   ,                        408   ,                      104   ,                  13.0   ,         0.725   ,            0.675   ,               51.0   ,                  4046   ,
2020-02-12 01:56:52 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        410   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               49.9   ,                  4044   ,
2020-02-12 01:56:53 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        410   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               48.4   ,                  4043   ,
2020-02-12 01:56:54 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        410   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               47.3   ,                  4042   ,
2020-02-12 01:56:55 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               45.0   ,                          45.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        410   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               46.3   ,                  4037   ,
2020-02-12 01:56:56 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        410   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               45.3   ,                  4034   ,
2020-02-12 01:56:57 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        410   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               43.8   ,                  4034   ,
2020-02-12 01:56:58 ,          13.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        417   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               52.3   ,                  4039   ,
2020-02-12 01:56:59 ,          14.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               50.9   ,                  4035   ,
2020-02-12 01:57:00 ,          14.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   39.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        3   ,                        415   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               49.5   ,                  4037   ,
2020-02-12 01:57:01 ,          39.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               48.6   ,                  4034   ,
2020-02-12 01:57:02 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               47.5   ,                  4031   ,
2020-02-12 01:57:03 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               46.6   ,                  4027   ,
2020-02-12 01:57:04 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               45.5   ,                  4026   ,
2020-02-12 01:57:05 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               43.9   ,                  4023   ,
2020-02-12 01:57:06 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               43.3   ,                  4023   ,
2020-02-12 01:57:07 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               45.0   ,                          45.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               42.6   ,                  4022   ,
2020-02-12 01:57:08 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               51.5   ,                  4030   ,
2020-02-12 01:57:09 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               50.1   ,                  4025   ,
2020-02-12 01:57:10 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               48.8   ,                  4025   ,
2020-02-12 01:57:11 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               47.6   ,                  4024   ,
2020-02-12 01:57:12 ,           8.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               56.1   ,                  4025   ,
2020-02-12 01:57:13 ,          12.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               54.6   ,                  4022   ,
2020-02-12 01:57:14 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               45.0   ,                          45.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               53.0   ,                  4019   ,
2020-02-12 01:57:15 ,          48.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        4   ,                        413   ,                      105   ,                  13.0   ,         0.725   ,            0.675   ,               51.5   ,                  4019   ,
2020-02-12 01:57:16 ,          29.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        3   ,                        430   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               50.1   ,                  4025   ,
2020-02-12 01:57:17 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        430   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               48.8   ,                  4022   ,
2020-02-12 01:57:18 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        416   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               47.8   ,                  4023   ,
2020-02-12 01:57:19 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        416   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               46.8   ,                  4027   ,
2020-02-12 01:57:20 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        415   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               45.5   ,                  4026   ,
2020-02-12 01:57:21 ,          39.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        3   ,                        423   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               53.8   ,                  4028   ,
2020-02-12 01:57:22 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        424   ,                      105   ,                  11.0   ,         0.725   ,            0.675   ,               52.3   ,                  4025   ,
2020-02-12 01:57:23 ,          43.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        4   ,                        426   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               50.6   ,                  4028   ,
2020-02-12 01:57:24 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        427   ,                      114   ,                  11.0   ,         0.725   ,            0.675   ,               49.4   ,                  3983   ,
2020-02-12 01:57:25 ,          32.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        4   ,                        415   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               48.5   ,                  3996   ,
2020-02-12 01:57:26 ,          38.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        4   ,                        413   ,                      105   ,                  12.0   ,         0.725   ,            0.675   ,               58.0   ,                  4082   ,
2020-02-12 01:57:27 ,          33.0   ,            272.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        4   ,                        463   ,                      106   ,                  14.0   ,         0.725   ,            0.675   ,               57.3   ,                  4248   ,
2020-02-12 01:57:28 ,          14.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        488   ,                      109   ,                  11.0   ,         0.725   ,            0.675   ,               56.6   ,                  4306   ,
2020-02-12 01:57:29 ,          28.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        3   ,                        488   ,                      109   ,                  12.0   ,         0.725   ,            0.675   ,               55.1   ,                  4223   ,
2020-02-12 01:57:30 ,          20.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        3   ,                        564   ,                      110   ,                  12.0   ,         0.750   ,            0.675   ,               64.5   ,                  4235   ,
2020-02-12 01:57:31 ,          95.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          7   ,                        6   ,                        554   ,                      110   ,                  13.0   ,         0.725   ,            0.675   ,               64.0   ,                  4217   ,
2020-02-12 01:57:32 ,          62.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        6   ,                        554   ,                      111   ,                  13.0   ,         0.725   ,            0.675   ,               62.4   ,                  4215   ,
2020-02-12 01:57:33 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        553   ,                      111   ,                  11.0   ,         0.725   ,            0.675   ,               61.8   ,                  4208   ,
2020-02-12 01:57:34 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        545   ,                      111   ,                  11.0   ,         0.725   ,            0.675   ,               61.9   ,                  4206   ,
2020-02-12 01:57:35 ,          48.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        3   ,                        561   ,                      111   ,                  12.0   ,         0.725   ,            0.675   ,               62.0   ,                  4220   ,
2020-02-12 01:57:36 ,          46.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        3   ,                        572   ,                      111   ,                  12.0   ,         0.725   ,            0.675   ,               62.4   ,                  4217   ,
2020-02-12 01:57:37 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        574   ,                      111   ,                  11.0   ,         0.725   ,            0.675   ,               61.6   ,                  4209   ,
2020-02-12 01:57:38 ,          86.0   ,           1800.0   ,           0.0   ,           0.0   ,               49.0   ,                          49.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          9   ,                        3   ,                        582   ,                      125   ,                  33.0   ,         0.750   ,            0.850   ,               61.3   ,                  4414   ,
2020-02-12 01:57:39 ,         108.0   ,            202.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,         12   ,                       10   ,                        583   ,                      126   ,                  13.0   ,         0.725   ,            0.675   ,               60.4   ,                  4278   ,
2020-02-12 01:57:40 ,          51.0   ,           1000.0   ,           0.0   ,           0.0   ,               48.0   ,                          48.0   ,                  48.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        1   ,                        596   ,                      126   ,                  24.0   ,         0.750   ,            0.850   ,               59.8   ,                  4278   ,
2020-02-12 01:57:41 ,         116.0   ,           1000.0   ,           0.0   ,           0.0   ,               48.0   ,                          48.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          9   ,                        2   ,                        611   ,                      126   ,                  24.0   ,         0.725   ,            0.850   ,               59.8   ,                  4244   ,
2020-02-12 01:57:42 ,          17.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        3   ,                        604   ,                      126   ,                  11.0   ,         0.725   ,            0.675   ,               60.0   ,                  4245   ,
2020-02-12 01:57:43 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        603   ,                      126   ,                  11.0   ,         0.725   ,            0.675   ,               60.5   ,                  4219   ,
2020-02-12 01:57:44 ,          34.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        3   ,                        598   ,                      126   ,                  12.0   ,         0.725   ,            0.675   ,               61.0   ,                  4219   ,
2020-02-12 01:57:45 ,          54.0   ,            202.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        6   ,                        606   ,                      126   ,                  13.0   ,         0.725   ,            0.675   ,               61.5   ,                  4221   ,
2020-02-12 01:57:46 ,           7.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        599   ,                      126   ,                  11.0   ,         0.725   ,            0.675   ,               61.8   ,                  4217   ,
2020-02-12 01:57:47 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        599   ,                      126   ,                  11.0   ,         0.725   ,            0.675   ,               61.6   ,                  4209   ,
2020-02-12 01:57:48 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        589   ,                      123   ,                  11.0   ,         0.725   ,            0.675   ,               61.4   ,                  4208   ,
2020-02-12 01:57:49 ,          43.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          3   ,                        4   ,                        589   ,                      123   ,                  12.0   ,         0.725   ,            0.675   ,               61.3   ,                  4208   ,
2020-02-12 01:57:50 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        598   ,                      127   ,                  11.0   ,         0.725   ,            0.675   ,               60.4   ,                  4455   ,
2020-02-12 01:57:51 ,           6.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        598   ,                      127   ,                  11.0   ,         0.725   ,            0.675   ,               59.6   ,                  4211   ,
2020-02-12 01:57:52 ,          79.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          8   ,                        5   ,                        587   ,                      122   ,                  12.0   ,         0.750   ,            0.675   ,               60.1   ,                  4207   ,
2020-02-12 01:57:53 ,          12.0   ,            200.0   ,           0.0   ,           0.0   ,               46.0   ,                          46.0   ,                  46.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        3   ,                        587   ,                      122   ,                  11.0   ,         0.725   ,            0.675   ,               60.3   ,                  4202   ,
2020-02-12 01:57:54 ,          52.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        3   ,                        589   ,                      122   ,                  12.0   ,         0.725   ,            0.675   ,               60.5   ,                  4190   ,
2020-02-12 01:57:55 ,          31.0   ,            200.0   ,           0.0   ,           0.0   ,               47.0   ,                          47.0   ,                  44.0   ,                   40.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        3   ,                        589   ,                      122   ,                  12.0   ,         0.725   ,            0.675   ,               60.6   ,                  4189   ,
